	name	alias	candidateVIAF	verifiedVIAF
147	Birgit Umbreit		117145003286961301456	
148	Gianina Iordachioaia			260099028
149	Manfred Sailer			22750587
150	Jürgen Pafel			112716763
151	Monique de Jong		306207064,48156219519804742634	
152	Friederike Fischer		297624819,6087149619419904010001,231032584	
153	Frank Richter			302433326
154	University of Göttingen		154205442	
155	Sandra Kübler			7666616
156	Holgeer Wunsch			107806410
157	Doris Penka			161047890
158	Arnim von Stechow			61562799
159	Helga Gese		3604151112572737180002	
160	Simone Alex		79838968,1447148209326000460007	
161	Claudia Maienborn			47039273
162	Stefan Hofstetter			171988053
163	Sigrid Beck			72129426
164	Ingeborg Krägeloh-Mann			58147094994225080150
165	Karen Lidzba			65137310
166	Daniël de Kok			305807824
167	Sebastian Pütz		294169023	
168	Corina Dima		828155411320608940008	
169	Jianqiang Ma		96727984	
170	Roland Schäfer		165523639,260248527,32495156,36146825162607631630,57485177,81519991,317055025,141476150,168151246511144130697,616160667845303560009	
171	Felix Bildhauer		173171903,1877150808950119000002,31159477886227990001,68146998587618942584	
172	Christiane Fellbaum		56454343,306454288	
173	Gosse Bouma		116808424	
174	Gertjan Van Noord		23370417,117375067	
175	Ineke Schuurman		313035631,39215415	
176	Erik Tjong Kim Sang		284667358,151689189	
177	Vincent Vandeghinste		285821853	
178	Sabrina Schulze		161794610,90966609	
179	Stefanie Simon		79657605,83173519,80347091,1799159233953403370318,296623432,317061516	
180	Anna Gastel		170181339	
181	Nadine Bade		140146029379035820250	140146029379035820250
182	Zirker		91624369,42119141	
183	Michael Franke			287433537
184	Gerhard Jäger			39821613
185	Markus Janczyk			8439719
186	Sonja Tiemann			311196458
187	J. Knapp		278746722	
188	Mareike Schmid		51144782963714509053	
189	H. Ackermann		12901724,311600919,287712013,563352,771145858102923021894	
190	Detmar Meurers			260268
191	Ramon Ziai		19145193382670460211	
192	Walt Detmar Meurers			260268
193	Kansas University		123827388	
194	The Ohio State University		129559629	
195	Philip Schulz		76154739838152991403,276150468391004172017,284060929	
196	Britta Stolterfoht			60171582
197	Rolf Ulrich		70071552,63886365,3827147872003775170001,991146936809813782842,27448516,203063040	
198	Vera Hohaus			14145193409970460192
199	Oliver Bott			160406414
200	Petra Augurzky		42995676	
201	Fabian Schlotterbeck		885150203812503250008	
202	Albert Wall		305196027,67802705,92906186	
203	Sarah Dessì Schmid			20791098
204	Esme Winter-Froemel			168371135
205	Irmgard de la Vega			305340083
206	Markus Ising			206494128
207	Robin Hörnig		6713438	
208	Valentin Dübbers			256779695
209	Sebastian Bücking		288717379	
210	Verena Eikmeier		702150470109704330000	
211	Aleksandar Dimitrov		300523176	
212	Irene Rapp			74577229
213	Paweł Kamocki			234147266567635480357
214	Christoph Draxler			120107197
215	Melanie Grumt Suárez		1135149489081893810008	
216	Bernhard Fisseni			33100027
217	Berthold Crysmann			30595684
218	Walter Kasper		103197552,57440554,1198159248160104870002	
219	Stefan Müller		80423919,101063844,232619898,103415665,120785302,34558267,27146462752327772551,162039270,285708487,270864299	
220	Linguistic Data Consortium		130534201	
221	ELSNET		197266427,160015569,266058706	
222	Claus Zinn			67564699
223	Johanna Herdtfelder		8643155769103527880000	
224	Barbara Kaup			30397979
225	Hartmut Leuthold			30241369
226	Martin Lachmair			311416205
227	Carolin Dudschig			121911857
228	Remus Gergel		70869546	
229	Daniel Fleischer		55349196	
230	James Pustejovsky		94232093	
231	Johannes Lohmann		47547954,287300595,169151840,511150085863315060000,305618639,7746154198376920230008,309676500,178389502,86039320	
232	Martin V. Butz		85380358	
233	Miriam Lahrsow			9151963595600311902
234	Angelika Zirker			120511669
235	Sara D. Beck			5968160001843730300000
236	Ruth Kessler		36220156	
237	Claudia Friedrich		142652343,30723937,47953197,11036093,315119769,30728028,77504511	
238	Claudia K. Friedrich		5256161212042240070003	
239	Anna Prysłopska		161618334	
240	Julia Lukassek		9217158309869206690001	
241	Cosima Schneider		92146461554127731530,4288160546922510240006	
242	Katrin Goldschmidt		4966161152503035190000	
243	Humboldt-Universität zu Berlin		103156009846449580564	
244	Stefan Heck		312786519,308242499,305561287,4288157583858733970005,311738317,823160122836240630004	
245	University of Tübingen Universität Tübingen			155435537
246	Patricia Fischer		121986890,77154981852267742098,1426159474202127661344,63155704	
247	Dennis Pauly		5155189853582131067	
248	Ulyana Senyuk		4338147373417541580002	
249	Tobias Pütz		6712156858487949780009	
250	Marcin Skowron		250263629	
251	Martin Trapp		7961943	
252	Emanuel Schütt		37148120536294790131	
253	Susanne Riecker		9897150470107604330001	
254	Julia Braun		7319159477696427990003,307301082,134455297,22146095353200372877,2789155044818272520001,152025825,168417578,2701160668135103560004,3554152865653504940006,7240159279153408160005	
255	Valentine Hacquard		10148996052259752734	
256	Jeffrey Lidz		7722147605378957760006	
257	Sara McConnell		63503780	
258	Martin Schäfer		81856888,108637565,11071212,107640237,6103004,27309966,101088591,1012158188202720260002,127440079,229145542698696641686	
259	Frauke Buscher		1552154592505643370004	
